双机位B卷
No.	题目	考点	分值
1	查找单入口空闲区域	BFS	100
2	文件缓存系统	数据结构	100
3	恢复数字序列	滑动窗口	100
4	5G网络建设	并查集	200
5	完美走位	尺取法	100
6	荒岛求生	数据结构	200
7	矩阵扩散【2025新题】	BFS	100
8	机器人走迷宫	BFS/DFS	200
9	流量波峰 【2025新题】	单调栈	100
10	AI处理器组合 / 处理器问题	逻辑模拟	100
11	敌情监控	滑动窗口	200
12	快递员的烦恼	BFS/DFS	100
13	池化资源共享【2025新题】	逻辑模拟	100
14	整数编码	字符串处理	100
15	贪心歌手	逻辑模拟	200
16	最大社交距离	逻辑模拟	200
17	学生方阵	逻辑模拟	100
18	单词搜索/找到它	回溯算法	200
19	查找充电设备组合	动态规划	200
20	停车场费用统计【2025新题】	逻辑模拟	100
18	最小传输时延	BFS	200
19	热点网站统计	排序算法	200
20	数大雁	逻辑模拟	100
21	最长广播效应	数据结构	200
22	快递运输	逻辑模拟	100
23	打印任务排序	排序算法	200
27	评委评分 / 比赛	数据结构	100
28	加紧更新中（上述题目均已在OJ中支持）
 在线刷题：https://hydro.ac/d/hwod_oj/p

OD统一考试【2025B卷】题库
No.	题目	考点	分值
1	对称美学	逻辑模拟	100
2	拼接URL	字符串处理	100
3	最小循环子数组	KMP算法	200
4	报文响应时间	数据结构	200
5	流水线	排序算法	100
6	字符串加密	动态规划	100
7	无向图染色	暴力遍历	200
8	求最大数 / 组成最大数	逻辑模拟	200
9	荒岛求生	数据结构	200
10	字符串子序列II	字符串处理	100
11	矩阵匹配	二分图	200
12	字符串序列判定	正则匹配	100
13	用户调度问题	DFS	100
14	最长的指定瑕疵度的元音子串	双指针	100
15	数组组成的最小数字	排序方法	200
16	士兵过河	动态规划	200
17	货币单位换算	字符串处理	100
18	爱吃蟠桃的孙悟空 / 猴子吃桃	二分法	100
19	食堂供餐	二分法	100
20	矩阵中非1的个数	BFS	100
21	欢乐的周末	并查集	100
22	小明减肥【2025新题】	DFS	100
23	整理扑克牌	数据结构	100
24	机房布局	逻辑模拟	100
25	分班	逻辑模拟	100
26	仿LISP运算	数据结构	100
27	矩形相交的面积	逻辑模拟	100
28	最长连续子序列	滑动窗口	100
29	简易内存池	区间问题	100
30	英文输入法	字符串处理	100
31	字符串分割	递归算法	100
32	区间交集	区间问题	100
33	启动多任务排序	拓扑排序	200
34	人气最高的店铺	逻辑分析	200
35	最差产品奖	数据结构	100
36	书籍叠放	二分法	200
37	观看文艺汇演问题	区间问题	100
38	恢复数字序列	滑动窗口	100
39	寻找最大价值的矿堆	DFS	200
40	完全二叉树非叶子部分后序遍历	数据结构/二叉树	200
41	构成正方形数量	数学问题	100
42	精准核酸检测	BFS/DFS	100
43	字符串分割转换/密钥格式化	字符串处理	100
44	找车位/停车场最大距离	逻辑分析	100
45	最长的顺子	数据结构	100
